PNR,Departure Date,Tail Number,Airport Code(Deprt.),Airport Code(Arrvl.)
G6193V,12/28/2017,507,SAN,BWI
G622JY,12/20/2017,521,MSY,ATL
G633UY,12/17/2017,621,MSP,RSW
G654NY,12/25/2017,648,LBE,MCO
G66LQY,12/30/2017,615,MSP,DFW
G67L7V,12/22/2017,631,PIT,LAS
G68Z2V,12/3/2017,536,OAK,LAX
G695KI,12/20/2017,648,RSW,BOS
G696UY,12/12/2017,621,SAN,LAS
G6B9TI,12/9/2017,507,PHX,ORD
G6C4VY,12/10/2017,670,DTW,FLL
G6EU2V,12/19/2017,534,LAX,ATL
G6EU2V,12/24/2017,536,LAX,ATL
G6GKJI,12/16/2017,679,MGA,FLL
G6I5JI,12/21/2017,640,MCO,ATL
G6LMMI,12/15/2017,615,LAX,CLE
G6NN2F,12/16/2017,515,BWI,SAN
G6PRSI,12/10/2017,606,MBJ,FLL
G6QQTI,12/20/2017,644,DTW,MSY
G6RSGV,12/26/2017,672,FLL,ORD
G6SGGV,12/2/2017,616,EWR,IAH
G6T1FV,12/10/2017,660,FLL,DFW
G6T6XI,12/13/2017,617,CLE,MCO
G6TP7F,12/13/2017,643,LBE,MCO
G6V9VI,12/26/2017,679,ACY,PBI
G6YG4V,12/17/2017,611,RSW,BOS
G6YQWY,12/21/2017,604,DEN,DTW
G6YQWY,12/25/2017,901,DTW,DEN
G72DMV,12/3/2017,640,LAX,CLE
G73DYI,12/21/2017,648,RSW,BWI
G78H2S,12/12/2017,629,MYR,LGA
G78J8S,12/15/2017,642,FLL,MCO
G797RV,12/23/2017,503,MCO,BDL
G7D74S,12/4/2017,667,FLL,ACY
G7D9VV,12/20/2017,645,DFW,LAX
G7DK6S,12/30/2017,615,DFW,MSP
G7EDHF,12/10/2017,671,SDQ,FLL
G7FFGF,12/27/2017,665,ATL,IAH
G7FG5S,12/10/2017,609,PBI,ORD
G7JFKF,12/1/2017,903,LGA,MYR
G7NBSF,12/14/2017,673,DEN,FLL
G7NK9S,12/26/2017,522,OAK,LAX
G7P45C,12/10/2017,664,TPA,ACY
G7Q2FS,12/23/2017,611,LAX,CLE
G7TCUF,12/27/2017,629,MYR,LGA
G7U9JS,12/14/2017,617,RSW,MSP
G7UG5C,12/16/2017,678,BWI,FLL
G7UG5C,12/17/2017,665,BWI,FLL
G7UP8C,12/3/2017,641,CUN,DFW
G7V25C,12/30/2017,662,PBI,ACY
G7VC3C,12/1/2017,603,ACY,MYR
G7Y8SV,12/8/2017,627,DTW,ATL
G814XF,12/17/2017,628,MSP,FLL
G85FRS,12/21/2017,525,MSY,LAS
G87TRS,12/18/2017,642,PIT,TPA
G8B9TS,12/13/2017,635,EWR,MCO
G8BRGC,12/15/2017,522,LAS,BOS
G8CB2P,12/7/2017,641,DFW,TPA
G8CCQC,12/17/2017,673,FLL,BOS
G8EKJC,12/16/2017,535,IAG,FLL
G8FWJC,12/28/2017,668,FLL,ORD
G8FWVS,12/31/2017,505,IAG,FLL
G8HF6P,12/24/2017,639,DFW,MCO
G8HZGP,12/2/2017,677,EWR,MCO
G8I2NC,12/15/2017,623,BOS,RSW
G8JZKC,12/27/2017,525,MCO,BDL
G8LLRC,12/3/2017,649,MCO,DTW
G8NQPC,12/22/2017,603,TPA,ATL
G8QPPC,12/15/2017,522,BWI,BOS
G8QQPC,12/27/2017,636,FLL,CLE
G8UUYC,12/11/2017,633,TPA,BOS
G8V2JP,12/28/2017,512,BDL,MCO
G8YIMC,12/30/2017,675,DTW,FLL
G94TSP,12/18/2017,614,BWI,TPA
G957HP,12/12/2017,531,LGA,DTW
G9DI3M,12/12/2017,673,FLL,ORD
G9F38M,12/24/2017,645,BWI,DFW
G9G69M,12/12/2017,519,PHX,DFW
G9G79M,12/7/2017,620,DFW,LAX
G9ISWP,12/27/2017,631,PHL,LAS
G9IYYP,12/15/2017,609,LAS,MCI
G9JFWP,12/23/2017,643,MCO,ATL
G9PS4Z,12/14/2017,648,TPA,DTW
G9RL7Z,12/25/2017,637,BOS,ATL
G9VTMM,12/18/2017,681,FLL,EWR
G9Z1PP,12/3/2017,530,SAN,BWI
GB19JJ,12/14/2017,519,BOS,MSY
GB2CMJ,12/23/2017,645,DTW,RSW
GB4KRJ,12/15/2017,658,MGA,FLL
GB7USJ,12/3/2017,903,PHL,DFW
GBBEFW,12/3/2017,616,IAH,LAX
GBDGGW,12/15/2017,523,MSY,MSP
GBENFW,12/26/2017,506,ORD,IAH
GBIK6G,12/17/2017,630,CLE,LAX
GBJCWJ,12/19/2017,641,MSP,PHX
GBPWNW,12/19/2017,679,ACY,FLL
GBQFUW,12/11/2017,679,LAS,ORD
GBR4YW,12/2/2017,657,IAH,LAS
GBTG6T,12/21/2017,609,LAS,PHL
GBWJQW,12/3/2017,612,TPA,CLE
GBZVFJ,12/17/2017,648,DFW,MCO
GC6PSG,12/17/2017,661,CUN,DTW
GC8G9D,12/18/2017,670,MCO,EWR
GC8NKG,12/17/2017,611,ORD,RSW
GCBCSG,12/24/2017,673,TPA,IAH
GCE68D,12/1/2017,670,FLL,SJO
GCFHJT,12/10/2017,507,RSW,DTW
GCFHJT,12/10/2017,664,RSW,DTW
GCFNYG,12/21/2017,681,MYR,EWR
GCFPJT,12/15/2017,669,FLL,BOS
GCGVFT,12/14/2017,670,FLL,BOS
GCHU7D,12/20/2017,644,DTW,MSY
GCI49D,12/31/2017,681,FLL,ACY
GCIHYG,12/26/2017,645,MCO,MSP
GCIJGT,12/11/2017,608,TPA,DTW
GCJ7JT,12/23/2017,903,ORD,LAX
GCRTUT,12/11/2017,636,RSW,DTW
GCSSMD,12/16/2017,605,LAS,PIT
GCU87Q,12/3/2017,530,BWI,SEA
GCVE7Q,12/2/2017,674,DTW,CUN
GCVMHD,12/9/2017,533,BOS,MYR
GCVN5Q,12/12/2017,629,FLL,LGA
GCW2PT,12/3/2017,613,TPA,BWI
GD29MD,12/15/2017,636,DFW,TPA
GD2K8Q,12/24/2017,522,MSY,BWI
GD2S8Q,12/31/2017,620,DFW,PHL
GD4BWT,12/13/2017,607,TPA,ATL
GD4QYT,12/13/2017,648,PIT,MCO
GD529Q,12/10/2017,618,DFW,BWI
GD5BFD,12/26/2017,504,MSY,CLE
GDB2WD,12/11/2017,676,FLL,ORD
GDC27A,12/3/2017,529,SAN,IAH
GDEFXD,12/25/2017,608,ORD,RSW
GDF47A,12/11/2017,618,EWR,IAH
GDG8YD,12/27/2017,504,MSY,TPA
GDGM8A,12/17/2017,647,PBI,ORD
GDGQHQ,12/27/2017,620,LAS,IAH
GDH23A,12/16/2017,618,LAS,BWI
GDH53A,12/2/2017,534,CAK,RSW
GDH95A,12/29/2017,533,LGA,ORD
GDJ8FQ,12/30/2017,674,EWR,MCO
GDJQNQ,12/25/2017,661,ACY,MCO
GDKLKQ,12/26/2017,679,PBI,ACY
GDKRJQ,12/3/2017,635,RSW,PIT
GDPF2N,12/25/2017,638,PBI,ORD
GDRIRQ,12/22/2017,529,PHL,ATL
GDSYWQ,12/2/2017,671,DTW,FLL
GDT66N,12/23/2017,659,DTW,FLL
GDVI4N,12/15/2017,647,PIT,DFW
GDVQGA,12/14/2017,524,LAS,MSP
GDVYKA,12/3/2017,643,TPA,BDL
GDW5TQ,12/28/2017,507,SAN,BWI
GDYUMQ,12/19/2017,632,MCO,CLE
GE1HVQ,12/24/2017,626,FLL,LGA
GE1JHA,12/27/2017,905,DFW,MSP
GE44HA,12/30/2017,615,MSP,DFW
GE8UXQ,12/26/2017,623,MYR,ACY
GE9JSA,12/29/2017,680,ORD,RSW
GEC7VA,12/22/2017,509,LAX,OAK
GEDVRA,12/13/2017,647,BWI,TPA
GEE6VA,12/21/2017,614,TPA,DFW
GEEFGN,12/27/2017,646,DFW,MCO
GEINGN,12/3/2017,665,TPA,FLL
GEITGN,12/31/2017,648,LGA,MYR
GEPT2K,12/16/2017,640,MCO,DTW
GEPZ5K,12/29/2017,534,IAG,FLL
GET53K,12/18/2017,638,PDX,LAS
GET5VN,12/21/2017,617,PHL,DFW
GETDXN,12/29/2017,602,RSW,ACY
GEYDFN,12/24/2017,633,BOS,RSW
GEZ4WQ,12/26/2017,502,DFW,DTW
GF135K,12/13/2017,660,MCO,ACY
GF228K,12/16/2017,642,MCO,DFW
GF3F8K,12/17/2017,636,LAX,IAH
GF4U9K,12/25/2017,514,BDL,MCO
GFBD3X,12/10/2017,532,MSY,BWI
GFD27X,12/11/2017,613,MCO,PHL
GFH32X,12/26/2017,681,FLL,LGA
GFIP4X,12/11/2017,502,BWI,LAX
GFIP4X,12/12/2017,505,BWI,LAX
GFMJPK,12/17/2017,643,CAK,FLL
GFQ52H,12/26/2017,641,BWI,TPA
GFULRK,12/23/2017,645,DTW,DFW
GFUT3H,12/27/2017,661,ATL,FLL
GG1YFX,12/9/2017,668,DEN,IAH
GG26RK,12/23/2017,624,BOS,MCO
GG2ZTK,12/15/2017,608,BWI,DFW
GG3UNX,12/3/2017,650,LAS,MCI
GG4L5H,12/3/2017,603,FLL,BOG
GG5S8U,12/2/2017,633,DTW,MSY
GG635H,12/21/2017,533,PHL,ATL
GG65RX,12/29/2017,512,LAX,BWI
GG7D3U,12/22/2017,648,MYR,ACY
GG7UYX,12/4/2017,617,LBE,MCO
GG7YSX,12/23/2017,671,TPA,ACY
GG92QX,12/25/2017,636,PHL,DFW
GGEKRX,12/11/2017,902,FLL,CLE
GGFQVX,12/3/2017,658,MYR,EWR
GGHS8U,12/24/2017,663,DTW,FLL
GGRNQH,12/30/2017,639,DFW,LAX
GGTD5E,12/15/2017,903,DFW,LAS
GGZPTK,12/2/2017,645,EWR,LAS
GH1B2E,12/22/2017,603,ATL,ORD
GH4N2R,12/23/2017,682,DTW,MCO
GH9Q2R,12/11/2017,604,DFW,PIT
GHBPJE,12/27/2017,903,DTW,RSW
GHEL4R,12/20/2017,533,LAX,MSP
GHH6HE,12/1/2017,506,BWI,SAN
GHK7GE,12/10/2017,669,BOS,FLL
GHLI9R,12/16/2017,626,MYR,LGA
GHRERE,12/16/2017,605,OAK,LAS
GHYI8R,12/21/2017,681,EWR,MCO
GI1B5B,12/9/2017,639,ATL,BWI
GI1FMR,12/27/2017,615,BDL,TPA
GI4BXE,12/18/2017,673,ACY,RSW
GI62GR,12/22/2017,660,ACY,TPA
GI6PPR,12/17/2017,606,BOS,TPA
GI95WR,12/10/2017,631,DTW,LAS
GID2TR,12/11/2017,903,DFW,PHL
GIDJRR,12/19/2017,678,ACY,RSW
GIDKRR,12/19/2017,641,DFW,MSP
GIHQJB,12/30/2017,659,DTW,FLL
GIJ1WR,12/16/2017,526,MSP,MSY
GIN2JB,12/22/2017,614,TPA,BDL
GIPIRB,12/9/2017,528,LAX,MSY
GIQ7QB,12/13/2017,672,ACY,FLL
GIQBHB,12/23/2017,662,PAP,FLL
GIQCHB,12/24/2017,645,BWI,DFW
GIRBPB,12/2/2017,645,FLL,MSP
GIT9MB,12/19/2017,516,PHL,ATL
GIZV8B,12/1/2017,628,DTW,LAX
GJ4MUB,12/15/2017,657,MCO,IAH
GJ4RUB,12/24/2017,623,PHX,DFW
GJ5DWB,12/12/2017,519,DFW,ATL
GY2KHM,12/15/2017,502,ORD,TPA
GY4BMM,12/24/2017,680,ORD,LAS
GY4F5J,12/26/2017,605,CLE,MCO
GY5G7J,12/18/2017,612,TPA,ORD
GY7TKM,12/16/2017,616,ORD,ATL
GYC25J,12/10/2017,660,FLL,SAP
GYCN7J,12/3/2017,616,ORD,DFW
GYD43J,12/8/2017,603,DEN,DTW
GYDJYM,12/23/2017,618,LAX,DFW
GYEK4J,12/25/2017,506,MSY,ATL
GYELNZ,12/20/2017,618,BOS,TPA
GYF9FZ,12/15/2017,671,EWR,FLL
GYFPGZ,12/26/2017,647,LAS,EWR
GYFYVM,12/14/2017,616,PHL,FLL
GYGQ5J,12/28/2017,672,FLL,DFW
GYJSMZ,12/18/2017,670,EWR,MYR
GYKKMZ,12/31/2017,503,SAN,BWI
GYKSMZ,12/30/2017,645,LAX,DTW
GYL7JZ,12/11/2017,669,FLL,BOS
GYMERZ,12/10/2017,643,ATL,BWI
GYN6GJ,12/30/2017,637,FLL,LBE
GYQVGJ,12/16/2017,672,EWR,FLL
GYY3FZ,12/30/2017,516,GUA,FLL
GYYVQM,12/28/2017,670,FLL,BOS
H471VB,12/23/2017,657,IAH,EWR
H47IYB,12/14/2017,536,DTW,DFW
H4CGXB,12/2/2017,517,MSP,ATL
H4JTXB,12/14/2017,643,BWI,ATL
H4N99L,12/10/2017,660,FLL,SAP
H4N99L,12/25/2017,664,FLL,SAP
H4PM2L,12/1/2017,607,LAX,FLL
H4SW4L,12/14/2017,678,BWI,FLL
H51M7L,12/25/2017,527,LGA,ORD
H52C6L,12/27/2017,669,DTW,MCO
H54T9L,12/17/2017,609,ATL,DTW
H59NJL,12/2/2017,675,SJU,MCO
H5GB3Y,12/26/2017,618,SAN,LAS
H5NRNL,12/17/2017,671,LAX,DEN
H5P5JL,12/21/2017,504,BOS,BWI
H5R6FY,12/6/2017,646,BOG,FLL
H5RCSL,12/21/2017,637,CLE,LAS
H5SMGY,12/13/2017,647,TPA,DTW
H5U7XL,12/10/2017,903,MCI,DTW
H5V7KY,12/30/2017,615,MSP,RSW
H5ZH3L,12/2/2017,502,DFW,DTW
H612JY,12/21/2017,639,BOS,MCO
H651NY,12/16/2017,667,DEN,IAH
H65FJY,12/19/2017,609,DTW,ATL
H65FNY,12/28/2017,647,ATL,BWI
H65LKY,12/20/2017,613,TPA,CLE
H69VQY,12/29/2017,504,PHX,ORD
H6BB4V,12/20/2017,663,MYR,EWR
H6E5GI,12/4/2017,611,DTW,TPA
H6EGUY,12/15/2017,680,ORD,RSW
H6EUVY,12/17/2017,662,LGA,FLL
H6F3VY,12/23/2017,628,FLL,PIT
H6F9GI,12/17/2017,650,MSP,DFW
H6GTVY,12/16/2017,523,MCO,EWR
H6IKYY,12/29/2017,667,MCO,ACY
H6K1MI,12/17/2017,662,DTW,FLL
H6L39V,12/31/2017,525,MCO,EWR
H6P4PI,12/7/2017,527,ORD,LAS
H6Q5MI,12/17/2017,631,FLL,PBG
H6R2VI,12/16/2017,605,OAK,LAS
H6R73F,12/18/2017,631,FLL,MSP
H6TBKV,12/16/2017,669,EWR,MCO
H6U7WI,12/23/2017,607,AUA,FLL
H6UN5F,12/26/2017,618,PDX,LAS
H6VM4F,12/14/2017,668,PBI,ACY
H6VTYI,12/17/2017,629,PDX,LAS
H7154F,12/25/2017,640,MCO,SJU
H71H7F,12/15/2017,643,CLE,ATL
H72TYI,12/23/2017,651,BOS,MCO
H732PV,12/31/2017,674,FLL,EWR
H73SKV,12/3/2017,676,FLL,BWI
H73SKV,12/4/2017,677,FLL,BWI
H76QQV,12/25/2017,624,MCO,MSP
H772QV,12/14/2017,604,FLL,DFW
H77GSV,12/11/2017,649,LAS,PIT
H78HWV,12/10/2017,602,LAS,MSP
H7DMWV,12/22/2017,614,TPA,BDL
H7EZFF,12/30/2017,639,DFW,LAS
H7G8KF,12/14/2017,644,DTW,ATL
H7GNVV,12/30/2017,668,FLL,BWI
H7HW9S,12/2/2017,607,LGA,MYR
H7IDMF,12/2/2017,622,TPA,DTW
H7L4YV,12/25/2017,614,IAH,LAX
H7L56S,12/17/2017,901,PHL,MCO
H7MS9C,12/14/2017,614,TPA,BOS
H7R8QF,12/21/2017,608,IAH,SAP
H7UM6C,12/24/2017,902,FLL,MSP
H7V9FS,12/17/2017,635,MCI,LAX
H7YFKF,12/26/2017,509,BWI,SEA
H7YITV,12/21/2017,533,DEN,FLL
H7ZCUI,12/7/2017,611,MCO,ATL
H818FS,12/20/2017,632,BWI,TPA
H81CXF,12/29/2017,662,RSW,DTW
H81UXF,12/28/2017,526,BOS,PBI
H829XF,12/30/2017,509,TPA,ORD
H82EXF,12/29/2017,530,MCO,DTW
H82LUF,12/13/2017,621,CLE,LAS
H83C7C,12/15/2017,623,RSW,MSP
H83G7C,12/18/2017,618,DFW,ORD
H851VS,12/9/2017,515,FLL,DFW
H85YUS,12/16/2017,617,FLL,PBG
H86TGS,12/25/2017,609,MCO,FLL
H86WJS,12/15/2017,531,BOS,MSY
H892SS,12/27/2017,621,PIT,RSW
H8B9YS,12/22/2017,634,MCO,BWI
H8BIPS,12/19/2017,601,BWI,IAH
H8BN2P,12/23/2017,524,MSY,LAX
H8FD5P,12/3/2017,641,LAX,IAH
H8FLXS,12/22/2017,901,LBE,MCO
H8G3UC,12/1/2017,638,IAG,FLL
H8H16P,12/26/2017,607,SJU,MCO
H8HC6P,12/12/2017,643,PHL,DFW
H8HC6P,12/13/2017,649,PHL,DFW
H8HNGC,12/31/2017,648,FLL,LGA
H8JZ7P,12/20/2017,521,ORD,MSY
H8KBYS,12/3/2017,609,IAH,EWR
H8LTGC,12/23/2017,534,MSY,MSP
H8PSNC,12/7/2017,675,FLL,ACY
H8RPKP,12/14/2017,532,FLL,IAG
H8U6KP,12/14/2017,524,LAS,MSP
H8VDQP,12/2/2017,531,MSY,BWI
H8W3NC,12/1/2017,645,DFW,MCO
H8Y4NS,12/21/2017,629,ORD,ATL
H8YFRS,12/1/2017,637,MSP,MCO
H8YNMC,12/15/2017,901,PIT,LAS
H92HFP,12/14/2017,636,MSP,MCO
H93YHP,12/29/2017,660,DTW,FLL
H93YHP,12/30/2017,659,DTW,FLL
H955JP,12/27/2017,659,EWR,MCO
H967KP,12/18/2017,524,LAS,ORD
H98M3M,12/2/2017,644,DTW,LAS
H98NMP,12/1/2017,642,ORD,PBI
H99F2Z,12/1/2017,673,BOS,FLL
H9B44M,12/26/2017,662,ACY,FLL
H9HK8M,12/10/2017,675,ACY,MCO
H9HZ5M,12/16/2017,607,MSP,RSW
H9IM9M,12/31/2017,645,TPA,ATL
H9J2YP,12/2/2017,633,RSW,DTW
H9L9GM,12/16/2017,662,FLL,DTW
H9MV8M,12/24/2017,601,ORD,ATL
H9RMFM,12/19/2017,674,CUN,FLL
H9RYGM,12/23/2017,681,FLL,ATL
H9VE7Z,12/1/2017,635,DTW,ATL
H9WK3Z,12/12/2017,530,LGA,ORD
HB1CYZ,12/14/2017,667,ACY,TPA
HB3MVZ,12/14/2017,643,ATL,BWI
HB5NNJ,12/10/2017,664,TPA,ACY
HB6HWJ,12/2/2017,627,MSP,RSW
HBB3XJ,12/23/2017,630,MCO,CLE
HBE2HW,12/30/2017,659,DTW,FLL
HBE9KW,12/2/2017,638,SEA,LAS
HBFD8G,12/10/2017,676,FLL,DEN
HBFRXJ,12/10/2017,661,RSW,ACY
HBFUXJ,12/23/2017,902,MCO,DTW
HBH63G,12/22/2017,657,IAH,MCO
HBHDYJ,12/25/2017,648,DFW,PHL
HBHM2G,12/7/2017,526,PHX,ORD
HBHR2G,12/26/2017,677,FLL,DEN
HBI39G,12/10/2017,617,CUN,DFW
HBJ32G,12/15/2017,612,LAS,PDX
HBKK6G,12/22/2017,636,MCO,BOS
HBKYTW,12/24/2017,649,PBG,FLL
HBLSYJ,12/16/2017,663,MYR,EWR
HBLZFW,12/14/2017,673,LGA,FLL
HBN5FW,12/24/2017,660,PAP,FLL
HBP9QW,12/27/2017,657,IAH,EWR
HBQPSW,12/23/2017,631,MCO,LBE
HBT2SW,12/2/2017,507,SAN,BWI
HBTFMW,12/22/2017,609,DFW,ORD
HBTK2T,12/22/2017,630,LAS,PIT
HBV87T,12/3/2017,661,RSW,DTW
HBVGGG,12/24/2017,658,EWR,IAH
HBVNSW,12/6/2017,502,LAS,BOS
HBWN4T,12/21/2017,517,PBI,BOS
HBWWRW,12/11/2017,637,RSW,BOS
HBYZ4G,12/21/2017,523,DTW,RSW
HC11HG,12/22/2017,650,BWI,ATL
HC13FG,12/22/2017,616,DTW,RSW
HC1C4T,12/13/2017,680,FLL,EWR
HC1K7T,12/1/2017,616,IAH,MCO
HC2C2T,12/11/2017,607,IAH,LAS
HC3T5T,12/26/2017,671,FLL,BOS
HC4F9T,12/3/2017,646,MSP,RSW
HC4Y8T,12/10/2017,628,FLL,PBG
HC65TG,12/29/2017,529,DTW,MCO
HC8VRG,12/2/2017,635,DTW,LGA
HC94KG,12/28/2017,536,MCO,BDL
HCBF6D,12/11/2017,673,CUN,DTW
HCBLQG,12/9/2017,509,PHL,LAX
HCD4HT,12/18/2017,621,LGA,FLL
HCE6XG,12/23/2017,674,RSW,ACY
HCI48D,12/17/2017,616,ATL,BWI
HCIK4D,12/26/2017,522,OAK,LAX
HCKK9D,12/13/2017,521,PBI,BOS
HCLRJT,12/22/2017,608,BWI,LAS
HCMWQT,12/22/2017,524,FLL,BDL
HCMWQT,12/23/2017,512,FLL,BDL
HCPQPT,12/1/2017,904,TPA,BOS
HCSWQT,12/2/2017,646,RSW,BOS
HCSWQT,12/3/2017,637,RSW,BOS
HCTCRT,12/2/2017,647,CUN,IAH
HCTEHD,12/15/2017,664,SDQ,FLL
HCUZUT,12/23/2017,634,BDL,RSW
HCV47Q,12/29/2017,529,MCO,BDL
HCY85D,12/15/2017,628,MYR,LGA
HCZW5T,12/20/2017,650,LAS,EWR
HD11RT,12/26/2017,637,BOS,MCO
HD4C2A,12/16/2017,674,FLL,LGA
HD56FD,12/25/2017,631,MCO,ORD
HD7BXT,12/30/2017,608,TPA,FLL
HDDUQD,12/25/2017,641,MCO,CLE
HDFWGQ,12/22/2017,640,OAK,LAS
HDG46A,12/20/2017,679,STI,FLL
HDGKSD,12/25/2017,681,LGA,FLL
HDHD5A,12/9/2017,648,DEN,LAS
HDHNGQ,12/14/2017,616,PHL,FLL
HDIJPQ,12/14/2017,614,TPA,DFW
HDJ57A,12/17/2017,664,LGA,FLL
HDKH3N,12/2/2017,668,MCO,ACY
HDKIHQ,12/25/2017,673,DTW,LAS
HDM18A,12/11/2017,667,EWR,MYR
HDM2VD,12/18/2017,607,BOS,MCO
HDNH8A,12/16/2017,663,MCO,EWR
HDP3NQ,12/10/2017,617,DFW,LAX
HDR9NQ,12/17/2017,604,LAX,IAH
HDSZQQ,12/9/2017,645,DTW,ATL
HDW79A,12/11/2017,660,SAP,FLL
HDY2XD,12/10/2017,667,MCO,ACY
HE4QHA,12/2/2017,510,LAX,FLL
HE57NA,12/11/2017,519,PIT,LAX
HE5JJA,12/17/2017,615,BWI,TPA
HE5ZGA,12/19/2017,602,BWI,LAS
HE77HA,12/29/2017,644,MSP,DFW
HE7LNA,12/17/2017,529,LAS,MSP
HE9YWA,12/10/2017,675,MCO,EWR
HEBCNA,12/13/2017,646,DTW,DEN
HECNTA,12/15/2017,623,MSP,RSW
HECVRA,12/10/2017,529,FLL,ATL
HED8UA,12/19/2017,641,MSP,PHX
HEFTJN,12/29/2017,615,TPA,BOS
HEGBVA,12/22/2017,614,RSW,BDL
HEHMSA,12/21/2017,635,LAX,MCI
HEIFWA,12/22/2017,659,FLL,DFW
HEIWPN,12/16/2017,679,BWI,FLL
HELNNN,12/21/2017,505,PHX,ORD
HELPJN,12/21/2017,625,MYR,LGA
HEMYHN,12/20/2017,612,ATL,ORD
HEU2TN,12/29/2017,636,PBI,ORD
HEU8TN,12/27/2017,621,ACY,RSW
HEVYTN,12/21/2017,628,FLL,CAK
HEZN3N,12/21/2017,902,TPA,BDL
HEZN6N,12/11/2017,661,FLL,EWR
HF1RSN,12/2/2017,528,LAX,PIT
HF2NWN,12/23/2017,508,DTW,MCO
HF35WN,12/30/2017,664,EWR,MCO
HFERFK,12/10/2017,661,RSW,ACY
HFES2X,12/26/2017,636,PIT,TPA
HFKV5X,12/10/2017,510,BOS,MSY
HFQSSK,12/12/2017,633,DFW,LAX
HFT57H,12/13/2017,628,TPA,MSP
HFVDTK,12/22/2017,626,BOS,RSW
HFVG4H,12/16/2017,611,PIT,FLL
HFWFJK,12/24/2017,650,MCO,PHL
HG3FVK,12/26/2017,631,IAH,LAS
HG43MX,12/22/2017,660,TPA,ACY
HG4I8H,12/1/2017,521,DTW,DFW
HG4KFX,12/4/2017,677,PBG,FLL
HG5L6H,12/14/2017,665,DTW,MCO
HG5TWK,12/16/2017,643,MCO,ORD
HG9E8H,12/30/2017,617,PHL,MCO
HG9IXK,12/12/2017,527,IAH,ORD
HGGL7U,12/3/2017,622,DTW,LAS
HGGS3U,12/11/2017,643,ATL,TPA
HGGSVX,12/20/2017,672,IAH,TPA
HGHB5U,12/19/2017,641,PHX,MSP
HGHM3U,12/16/2017,663,MYR,EWR
HGJMFH,12/27/2017,678,IAH,ATL
HGJN8U,12/23/2017,678,FLL,EWR
HGKC2U,12/30/2017,672,IAH,ATL
HGKDHH,12/18/2017,680,LAS,ORD
HGL3HH,12/22/2017,631,TPA,PIT
HGP9MH,12/26/2017,682,DEN,IAH
HGTF5E,12/19/2017,508,LAX,MSY
HGTF5E,12/23/2017,532,LAX,MSY
HGTJQH,12/1/2017,503,PIT,FLL
HGUGPH,12/13/2017,521,PBI,BOS
HGV3VH,12/13/2017,623,RSW,ORD
HH2W5E,12/17/2017,679,MCO,EWR
HH2W5E,12/18/2017,670,MCO,EWR
HH4S6E,12/27/2017,667,PBI,ACY
HH523E,12/19/2017,625,EWR,MYR
HH8W9E,12/20/2017,612,ORD,ATL
HHFBFE,12/19/2017,633,PIT,TPA
HHLP9R,12/2/2017,638,SEA,LAS
HHMR9R,12/11/2017,530,LGA,ORD
HHN7JE,12/19/2017,536,MSY,FLL
HHPFRE,12/16/2017,638,LAS,PDX
HHPK3B,12/12/2017,660,EWR,MCO
HHR5KE,12/14/2017,507,TPA,LBE
HHRKKE,12/15/2017,665,SJU,MCO
HHTM4B,12/10/2017,667,FLL,ACY
HHVV9B,12/25/2017,639,FLL,TPA
HHZJTH,12/25/2017,661,ACY,MCO
HI1TTE,12/21/2017,677,BOS,FLL
HI21TE,12/12/2017,644,OAK,LAS
HI2RVE,12/22/2017,639,CLE,LAS
HI397B,12/14/2017,601,DFW,LAS
HI3PJR,12/18/2017,630,PIT,DFW
HI4B7B,12/10/2017,664,RSW,DTW
HI76GR,12/18/2017,659,BWI,FLL
HI8Z6B,12/3/2017,649,DFW,MCO
HI8Z6B,12/3/2017,903,DFW,MCO
HI9U6B,12/21/2017,679,FLL,BWI
HIBGVR,12/2/2017,658,MCO,ACY
HICDNR,12/23/2017,611,LAX,CLE
HICGKR,12/28/2017,647,BWI,ATL
HIDHNR,12/13/2017,527,MSY,BWI
HIGPXR,12/16/2017,528,FLL,ACY
HIGUTR,12/21/2017,644,MSP,FLL
HIJQYR,12/12/2017,645,FLL,LGA
HIK5YR,12/21/2017,618,DFW,MSP
HIL8XR,12/8/2017,633,FLL,MSY
HILQJB,12/22/2017,681,ACY,MCO
HIN4QB,12/19/2017,640,MCO,BOS
HISGQB,12/14/2017,663,BWI,FLL
HIT9NB,12/3/2017,606,MBJ,FLL
HIUGQB,12/1/2017,528,BWI,MSY
HIUVNB,12/17/2017,534,MSY,BWI
HIZJGR,12/13/2017,506,LAX,PHL
HJZ6NB,12/10/2017,665,FLL,ORD
HY176Z,12/12/2017,643,PHL,DFW
HY3W4Z,12/23/2017,535,FLL,IAH
HY4C8Z,12/13/2017,606,BOS,TPA
HY4C8Z,12/16/2017,636,BOS,TPA
HY4QJM,12/26/2017,633,ORD,MCO
HY55KM,12/7/2017,631,RSW,ACY
HY5M4Z,12/25/2017,651,DTW,ATL
HY5RKM,12/23/2017,651,DTW,ATL
HY6GPM,12/21/2017,533,FLL,IAG
HY78RM,12/18/2017,677,LAS,DFW
HY9DFZ,12/23/2017,661,EWR,FLL
HYD13J,12/3/2017,661,ACY,TPA
HYF9HZ,12/3/2017,505,PBI,BOS
HYFHQM,12/14/2017,510,MDE,FLL
HYFU4J,12/23/2017,675,BWI,FLL
HYILMZ,12/2/2017,606,FLL,IAG
HYIMHZ,12/24/2017,631,PHL,MCO
